Bu Name,Vertical,MonthYear,Month,Catalog Noncatalog,Expenditure Type,Document Status,Category - Level 3,Category - Level 2,Category - Level 1,Category - Level 0,Item Number,Item Description,Supplier Name,Quantity,Uom Code,Unit Price,Received Amount,PO Value
ZHG: Zabeel House The Greens,DHH,Jan-23,1,Catalog,FnB,CLOSED,CHUTNEY/PICKLES/RELISH,"ADDITIVES, CONDIMENTS, PRESERVATIVES & SEASONINGS",FOOD,FOOD & BEVERAGE,FI106470,Pickles Kimchi Cabbage CJ 2kg Korea,1004 GOURMET GENERAL TRADING LLC,1,PK,70,140,140
ZHG: Zabeel House The Greens,DHH,Jan-23,1,Catalog,FnB,CLOSED,RICE,"CEREALS, GRAINS & PULSES",FOOD,FOOD & BEVERAGE,FI112786,Rice Brown XO 10kg Thailand,1004 GOURMET GENERAL TRADING LLC,1,BAG,128,128,256
ZHG: Zabeel House The Greens,DHH,Jan-23,1,Catalog,FnB,CLOSED,CHUTNEY/PICKLES/RELISH,"ADDITIVES, CONDIMENTS, PRESERVATIVES & SEASONINGS",FOOD,FOOD & BEVERAGE,FI106470,Pickles Kimchi Cabbage CJ 2kg Korea,1004 GOURMET GENERAL TRADING LLC,2,PK,70,280,280
ZHG: Zabeel House The Greens,DHH,Feb-23,2,Catalog,FnB,CLOSED,CHUTNEY/PICKLES/RELISH,"ADDITIVES, CONDIMENTS, PRESERVATIVES & SEASONINGS",FOOD,FOOD & BEVERAGE,FI106470,Pickles Kimchi Cabbage CJ 2kg Korea,1004 GOURMET GENERAL TRADING LLC,2,PK,70,0,140
ZHG: Zabeel House The Greens,DHH,Jan-23,1,Catalog,FnB,CLOSED,RICE,"CEREALS, GRAINS & PULSES",FOOD,FOOD & BEVERAGE,FI112786,Rice Brown XO 10kg Thailand,1004 GOURMET GENERAL TRADING LLC,2,BAG,128,128,256
ZHG: Zabeel House The Greens,DHH,Jan-23,1,Catalog,FnB,CLOSED,CHUTNEY/PICKLES/RELISH,"ADDITIVES, CONDIMENTS, PRESERVATIVES & SEASONINGS",FOOD,FOOD & BEVERAGE,FI106470,Pickles Kimchi Cabbage CJ 2kg Korea,1004 GOURMET GENERAL TRADING LLC,4,PK,70,280,280
ZHG: Zabeel House The Greens,DHH,Feb-23,2,Catalog,FnB,CLOSED,CHUTNEY/PICKLES/RELISH,"ADDITIVES, CONDIMENTS, PRESERVATIVES & SEASONINGS",FOOD,FOOD & BEVERAGE,FI106470,Pickles Kimchi Cabbage CJ 2kg Korea,1004 GOURMET GENERAL TRADING LLC,4,PK,70,560,560
ZHG: Zabeel House The Greens,DHH,Feb-23,2,Catalog,FnB,CLOSED,SAUCES/MARINADES/FLAVOUR BASES,"ADDITIVES, CONDIMENTS, PRESERVATIVES & SEASONINGS",FOOD,FOOD & BEVERAGE,FI113228,Sauce Chili Sauce LaoGanMa 280g China,1004 GOURMET GENERAL TRADING LLC,15,PK,13,195,195
ZHG: Zabeel House The Greens,DHH,Jan-23,1,Catalog,FnB,CLOSED,CHICKEN,MEAT & POULTRY,FOOD,FOOD & BEVERAGE,FI119897,Chicken Bone Chilled UAE,ABU AHMED MEAT TRADING LLC,20,KGS,5,100,100
ZHG: Zabeel House The Greens,DHH,Feb-23,2,Catalog,FnB,CLOSED,CHICKEN,MEAT & POULTRY,FOOD,FOOD & BEVERAGE,FI119897,Chicken Bone Chilled UAE,ABU AHMED MEAT TRADING LLC,20,KGS,5,100,100
